"KDSATKER","KDDEPT","KDMAK","JML_BILLING","JML_LAYANAN","REAL_VOLUME"
"099217","005","425232",40,1,91
"099217","005","425233",37,7,79
"099217","005","425239",214,34,3161
"099218","005","425232",16,1,58
"099218","005","425233",79,14,313
"099218","005","425239",415,68,14395
"099219","005","425912",2,1,0
"099220","005","425231",13,1,315
"099220","005","425232",29,1,236
"099220","005","425233",170,9,583
"099220","005","425239",655,53,11387
"099220","005","425912",8,1,1
"099221","005","425232",51,1,101
"099221","005","425233",85,6,101
"099221","005","425239",642,35,3554
"099222","005","425232",45,1,68
"099222","005","425233",49,4,62
"099222","005","425239",339,31,4296
"099223","005","425122",1,1,0
"099224","005","425232",20,1,191
"099224","005","425233",106,5,288
"099224","005","425239",568,33,9929
"099225","005","425239",106,2,219
"099226","005","425231",28,1,1185
"099226","005","425232",57,1,328
"099226","005","425233",260,11,1043
"099226","005","425239",1560,65,27360
"099227","005","425131",1,1,1
"099227","005","425231",19,1,2836
"099227","005","425232",20,1,165
"099227","005","425233",48,4,253
"099227","005","425239",110,8,7494
"099228","005","425232",97,1,373
"099228","005","425233",139,7,391
"099228","005","425239",721,41,11952
"099229","005","425232",1,1,2
"099229","005","425233",50,6,211
"099229","005","425239",289,35,12298
"099230","005","425122",1,1,0
"099230","005","425131",1,1,1
"099231","005","425232",16,1,108
"099231","005","425233",35,6,200
"099231","005","425239",189,42,7084
"099232","005","425231",1,1,1
"099232","005","425232",22,1,123
"099232","005","425233",40,5,113
"099232","005","425239",197,36,108403
"099233","005","425231",1,1,1
"099233","005","425232",66,1,81
"099233","005","425233",60,7,73
"099233","005","425239",1591,37,6215
"099234","005","425231",1,1,1
"099234","005","425232",234,1,235
"099234","005","425233",140,6,226
"099234","005","425239",2036,39,12824
"099235","005","425231",1,1,1
"099235","005","425232",201,1,244
"099235","005","425233",127,7,191
"099235","005","425239",2039,34,8695
"099236","005","425233",277,7,905
"099236","005","425239",3975,46,29642
"099237","005","425232",10,1,16
"099237","005","425233",61,4,264
"099237","005","425239",248,28,1484
"099238","005","425233",65,7,93
"099238","005","425239",163,13,3503
"099239","005","425232",229,1,1327
"099239","005","425233",233,12,1430
"099239","005","425239",1712,59,35456
"099240","005","425232",80,1,190
"099240","005","425233",136,5,577
"099240","005","425239",731,33,13663
"099241","005","425232",113,1,151
"099241","005","425233",144,4,166
"099241","005","425239",818,29,6012
"099242","005","425232",74,1,155
"099242","005","425233",89,5,176
"099242","005","425239",429,34,9297
"099243","005","425232",54,1,496
"099243","005","425233",97,6,608
"099243","005","425239",549,41,15376
"099245","005","425231",1,1,1
"099245","005","425232",6,1,36
"099245","005","425233",63,5,151
"099245","005","425239",398,36,3272
"099246","005","425231",5,1,9
"099246","005","425232",212,1,624
"099246","005","425233",271,11,473
"099246","005","425239",1540,59,26476
"099247","005","425231",2,1,2
"099247","005","425232",10,1,11
"099247","005","425233",134,6,220
"099247","005","425239",1154,27,7171
"099248","005","425232",11,1,37
"099248","005","425233",15,3,61
"099248","005","425239",107,25,2754
"099249","005","425231",84,1,775
"099249","005","425232",44,1,72
"099249","005","425233",56,5,81
"099249","005","425239",307,31,3181
"099249","005","425764",2,1,0
"099250","005","425232",28,1,84
"099250","005","425233",29,7,58
"099250","005","425239",182,34,2721
"099252","005","425231",1,1,1
"099252","005","425232",118,1,348
"099252","005","425233",149,7,379
"099252","005","425239",955,54,12297
"099253","005","425239",59,2,179
"099253","005","425764",1,1,1
"099254","005","425232",49,1,4120
"099254","005","425233",70,5,586
"099254","005","425239",160,8,19824
"099254","005","425912",1,1,1
"099255","005","425232",14,1,34
"099255","005","425233",24,2,64
"099255","005","425239",128,11,1868
"099256","005","425232",41,1,125
"099256","005","425233",43,5,74
"099256","005","425239",407,41,4271
"099257","005","425233",28,4,75
"099257","005","425239",142,17,1625
"099258","005","425231",13,1,17
