"KDSATKER","MAX(REVISION_NUMBER)"
"119091",14
"119106",7
"119110",5
"119127",9
"119129",6
"119130",3
"119131",7
"119132",4
"119133",5
"119137",5
"119138",4
"119139",4
"119152",6
"119160",6
"119161",4
"119162",4
"119163",5
"119164",6
"119165",6
"119166",7
"119167",5
"119168",6
"119232",2
"119234",6
"119303",1
"119312",9
"119326",7
"119347",9
"119351",7
"119368",4
"119372",6
"119389",8
"119393",4
"119395",9
"119415",12
"119436",7
"119440",4
"119457",6
"119461",8
"119478",6
"119482",7
"119499",6
"119504",3
"119511",6
"119525",6
"119532",5
"119546",5
"119567",5
"119571",5
"119588",6
"119592",7
"119600",6
"119614",4
"119621",5
"119642",4
"119656",7
"119660",7
"119677",7
"119698",5
"119703",7
"119710",5
"119724",4
"119731",5
"119745",4
"119752",5
"119766",5
"119770",6
"119791",5
"119809",5
"119813",7
"119820",6
"119834",4
"119841",5
"119855",4
"119862",7
"119876",8
"119880",5
"119897",4
"119902",6
"119919",10
"119923",7
"119930",4
"119944",4
"119965",6
"119972",6
"119986",6
"119990",6
"120010",6
"120012",7
"120020",2
"120040",8
"120063",1
"120067",4
"120099",3
"120751",5
"120855",6
"120917",3
"121012",5
"121014",8
"121015",7
"121016",3
"121019",6
"121108",4
"121111",4
"121112",3
"121113",3
"121115",6
"121116",4
"121117",7
"121210",8
"121212",6
"121213",3
"121214",5
"121217",6
"121306",10
"125165",12
"125166",5
"129000",7
"129003",6
"129011",5
"129014",3
"129015",3
"129020",2
"129024",1
"129032",2
"129033",2
"129034",1
"129035",3
"129036",1
"129065",6
"129067",4
"129069",1
"129072",5
"129074",4
"129098",2
"129112",5
"129113",7
"129114",3
"129115",6
"129119",6
"129120",5
"129121",4
"129123",2
"129218",2
"129236",4
"130012",4
"130019",2
"130060",5
"130063",6
"130079",3
"130095",4
"130155",1
"130163",4
"130202",3
"130467",3
"130470",6
"130524",4
"130558",8
"130761",5
"131111",5
"131112",3
"131220",4
"131520",5
"135134",5
"137544",6
"137590",8
"137608",6
"139001",1
"139014",6
"139017",3
"139018",1
"139022",3
"139026",4
"139027",4
"139030",9
"139032",7
"139034",1
"139035",3
"139036",4
"139071",2
"139074",1
"139075",4
"139076",2
"139077",7
"139078",3
"139125",7
"139126",7
"139127",3
"139128",6
"139132",4
"139134",9
"139138",2
"139243",4
"139251",2
"140010",13
"140018",2
"140020",4
"140024",1
"140042",6
"140071",1
"140072",2
"140097",4
"140161",1
"140357",2
"140831",2
"140934",5
"145132",3
"145157",1
"145158",1
"145160",5
"145161",8
"149000",5
"149003",5
"149021",4
"149022",3
"149023",1
"149027",2
"149028",4
"149029",4
"149030",2
"149031",3
"149032",2
"149065",2
"149067",3
"149069",3
"149070",4
"149071",4
"149072",4
"149114",5
"149115",3
"149116",4
"149117",5
"149120",4
"149130",1
"149215",4
"149221",3
"150009",2
"150033",6
"150060",3
"150071",3
"150083",3
"150098",4
"150242",3
"150243",5
"150427",3
"150429",4
"150751",5
"150958",4
"155132",6
"155161",8
"155247",10
"159000",7
"159002",3
"159004",6
"159018",4
"159019",1
"159025",1
"159034",2
"159035",7
"159036",7
"159037",5
"159038",6
"159039",4
"159062",6
"159064",6
"159065",3
"159071",5
"159107",5
"159108",4
"159109",6
"159110",8
"159114",8
"159116",9
"159118",4
"159187",4
"159191",3
"159199",4
"160016",3
"160019",2
"160063",2
"160064",2
"160079",2
"160094",5
"160100",8
"160254",5
"160255",1
"161209",4
"161211",7
"161212",2
"161213",2
"161303",8
"165162",3
"165249",4
"165253",4
"165352",5
"165441",7
"169001",3
"169010",6
"169013",4
"169014",4
"169024",4
"169025",5
"169027",3
"169031",3
"169032",3
"169033",6
"169034",3
"169035",3
"169036",1
"169065",6
"169066",3
"169068",4
"169071",2
"169073",3
"169112",5
"169113",3
"169114",3
"169115",6
"169120",5
"169121",4
"169124",2
"169185",1
"170008",6
"170029",2
"170033",3
"170037",1
"170076",3
"170100",8
"170102",7
"170445",7
"171101",4
"171169",8
"171171",7
"171172",5
"171173",4
"171175",5
"171408",7
"171410",3
"171411",3
"171412",2
"171413",2
"171417",3
"175163",6
