"KDSATKER","KDDEPT","KDMAK","JML_BILLING","JML_LAYANAN","REAL_VOLUME"
"099147","005","425232",87,1,173
"099147","005","425233",132,10,218
"099147","005","425239",790,50,7700
"099148","005","425231",5,1,5
"099148","005","425232",18,1,25
"099148","005","425233",114,8,175
"099148","005","425239",687,43,6886
"099149","005","425231",5,1,24
"099149","005","425232",27,1,591
"099149","005","425233",57,6,984
"099149","005","425239",334,39,10777
"099150","005","425231",10,1,12
"099150","005","425232",25,1,96
"099150","005","425233",23,2,111
"099150","005","425239",110,6,1949
"099151","005","425231",28,1,1198
"099151","005","425232",25,1,271
"099151","005","425233",55,5,382
"099151","005","425239",146,6,7071
"099152","005","425232",107,1,957
"099152","005","425233",201,9,1049
"099152","005","425239",1059,58,21900046
"099153","005","425231",2,1,2
"099153","005","425232",37,1,80
"099153","005","425233",62,7,119
"099153","005","425239",386,38,3361
"099154","005","425231",1,1,1
"099154","005","425232",13,1,57
"099154","005","425233",37,6,98
"099154","005","425239",153,29,2922
"099155","005","425131",1,1,4
"099156","005","425231",2,1,2
"099156","005","425232",30,1,49
"099156","005","425233",78,5,118
"099156","005","425239",537,35,3843
"099157","005","425231",1,1,1
"099157","005","425232",49,1,258
"099157","005","425233",136,8,460
"099157","005","425239",732,43,10732
"099158","005","425232",5,1,44
"099158","005","425233",43,9,204
"099158","005","425239",228,44,1051
"099159","005","425231",3,1,3
"099159","005","425232",18,1,39
"099159","005","425233",38,5,223
"099159","005","425239",232,29,4060
"099160","005","425232",28,1,128
"099160","005","425233",43,6,159
"099160","005","425239",254,42,4620
"099161","005","425233",18,3,65
"099161","005","425239",91,18,1949
"099163","005","425232",12,1,15
"099163","005","425233",48,4,71
"099163","005","425239",192,28,2633
"099164","005","425232",32,1,74
"099164","005","425233",44,5,98
"099164","005","425239",223,26,4523
"099165","005","425233",41,6,154
"099165","005","425239",158,30,2014
"099166","005","425233",56,4,92
"099166","005","425239",249,26,3149
"099167","005","425232",14,1,133
"099167","005","425233",13,2,125
"099167","005","425239",64,15,3306
"099168","005","425232",11,1,46
"099168","005","425233",17,4,87
"099168","005","425239",89,27,1608
"099168","005","425764",1,1,1
"099169","005","425232",5,1,21
"099169","005","425239",70,2,181
"099170","005","425231",1,1,2
"099170","005","425232",82,1,330
"099170","005","425233",151,10,309
"099170","005","425239",693,55,9541
"099171","005","425232",27,1,39
"099171","005","425233",23,2,25
"099171","005","425239",115,10,1229
"099172","005","425232",8,1,12
"099172","005","425233",77,6,244
"099172","005","425239",332,30,5141
"099173","005","425233",97,6,217
"099173","005","425239",427,28,5912
"099174","005","425232",103,1,498
"099174","005","425233",95,4,302
"099174","005","425239",511,29,7725
"099175","005","425232",73,1,110
"099175","005","425233",92,5,174
"099175","005","425239",458,30,3518
"099177","005","425232",18,1,25
"099177","005","425233",64,5,82
"099177","005","425239",305,26,1811
"099178","005","425232",34,1,135
"099178","005","425233",49,5,148
"099178","005","425239",188,28,4151
"099179","005","425232",49,1,68
"099179","005","425233",62,3,85
"099179","005","425239",182,15,1929
"099181","005","425231",2,1,2
"099181","005","425232",40,1,75
"099181","005","425233",64,4,95
"099181","005","425239",291,26,2701
"099181","005","425912",1,1,1
"099182","005","425232",18,1,30
"099182","005","425233",13,2,22
"099182","005","425239",64,14,673
